timestamp,value
0,74
1,75
2,76
3,78
4,79
5,79
6,80
7,80
8,80
9,79
10,81
11,80
12,79
13,81
14,80
15,80
16,81
17,81
18,82
19,80
20,82
21,81
22,80
23,81
24,82
25,82
26,81
27,83
28,81
29,83
30,82
31,82
32,81
33,82
34,82
35,83
36,83
37,82
38,83
39,84
40,84
41,82
42,83
43,83
44,84
45,84
46,83
47,83
48,85
49,85
50,85
51,85
52,84
53,85
54,84
55,85
56,85
57,85
58,85
59,85
60,85
61,85
62,86
63,86
64,86
65,87
66,86
67,87
68,86
69,88
70,87
71,87
72,89
73,89
74,89
75,88
76,90
77,89
78,90
79,90
80,89
81,91
82,91
83,90
84,91
85,92
86,90
87,92
88,91
89,91
90,91
91,92
92,92
93,91
94,91
95,91
96,89
97,89
98,88
99,88
100,88
101,86
102,87
103,85
104,84
105,84
106,85
107,83
108,83
109,84
110,83
111,82
112,84
113,82
114,82
115,83
116,82
117,83
118,83
119,81
120,81
121,82
122,82
123,82
124,80
125,81
126,83
127,84
128,82
129,84
130,84
131,85
132,87
133,87
134,86
135,86
136,86
137,85
138,87
139,86
140,85
141,86
142,85
143,86
144,83
145,85
146,83
147,83
148,84
149,84
150,84
151,83
152,84
153,82
154,83
155,82
156,82
157,82
158,81
159,81
160,81
161,80
162,80
163,80
164,78
165,78
166,78
167,77
168,75
169,76
170,75
171,74
172,75
173,73
174,74
175,73
176,73
177,74
178,73
179,75
180,75
181,76
182,75
183,76
184,77
185,79
186,78
187,79
188,77
189,78
190,78
191,80
192,80
193,79
194,80
195,80
196,80
197,80
198,80
199,82
200,81
201,81
202,82
203,81
204,80
205,81
206,83
207,83
208,81
209,81
210,82
211,81
212,82
213,83
214,83
215,82
216,83
217,85
218,84
219,85
220,84
221,83
222,83
223,84
224,83
225,83
226,83
227,83
228,84
229,84
230,83
231,83
232,83
233,83
234,83
235,84
236,82
237,82
238,83
239,83
240,84
241,83
242,82
243,82
244,82
245,82
246,83
247,82
248,83
249,83
250,82
251,81
252,83
253,83
254,81
255,81
256,81
257,80
258,81
259,79
260,79
261,79
262,77
263,79
264,81
265,80
266,83
267,82
268,84
269,86
270,86
271,86
272,86
273,86
274,87
275,87
276,84
277,85
278,86
279,86
280,84
281,86
282,85
283,85
284,84
285,83
286,85
287,83
288,84
289,84
290,84
291,83
292,82
293,82
294,83
295,81
296,81
297,80
298,80
299,80
300,80
301,78
302,78
303,77
304,76
305,77
306,75
307,75
308,74
309,75
310,73
311,73
312,71
313,71
314,70
315,71
316,69
317,68
318,69
319,68
320,66
321,66
322,66
323,65
324,66
325,65
326,64
327,64
328,65
329,63
330,64
331,64
332,64
333,62
334,62
335,62
336,62
337,62
338,62
339,62
340,62
341,60
342,60
343,61
344,61
345,60
346,60
347,60
348,60
349,60
350,63
351,66
352,70
353,73
354,75
355,78
356,78
357,78
358,79
359,79
360,80
361,81
362,80
363,82
364,83
365,83
366,83
367,84
368,84
369,84
370,84
371,86
372,85
373,87
374,86
375,87
376,88
377,87
378,88
379,88
380,87
381,87
382,87
383,88
384,89
385,89
386,88
387,88
388,88
389,89
390,88
391,87
392,89
393,87
394,88
395,87
396,88
397,87
398,89
399,89
400,88
401,88
402,89
403,90
404,89
405,89
406,90
407,91
408,89
409,91
410,91
411,90
412,90
413,92
414,91
415,91
416,90
417,91
418,92
419,90
420,91
421,90
422,90
423,90
424,91
425,90
426,92
427,90
428,91
429,91
430,91
431,92
432,91
433,91
434,92
435,91
436,90
437,92
438,91
439,91
440,91
441,90
442,91
443,90
444,90
445,90
446,92
447,92
448,91
449,90
450,90
451,91
452,90
453,92
454,90
455,91
456,90
457,91
458,91
459,90
460,91
461,91
462,90
463,91
464,91
465,89
466,90
467,89
468,90
469,88
470,88
471,87
472,87
473,86
474,86
475,87
476,86
477,84
478,85
479,85
480,84
481,84
482,84
483,82
484,82
485,82
486,81
487,83
488,81
489,81
490,82
491,82
492,80
493,81
494,82
495,82
496,81
497,81
498,82
499,81
500,83
501,82
502,82
503,83
504,83
505,83
506,84
507,83
508,85
509,86
510,86
511,87
512,88
513,89
514,90
515,90
516,93
517,92
518,93
519,94
520,92
521,94
522,92
523,92
524,93
525,91
526,92
527,92
528,92
529,91
530,90
531,89
532,89
533,89
534,90
535,89
536,89
537,90
538,90
539,90
540,89
541,89
542,89
543,88
544,87
545,86
546,88
547,86
548,86
549,85
550,85
551,85
552,84
553,83
554,83
555,84
556,84
557,84
558,82
559,81
560,82
561,83
562,82
563,81
564,80
565,81
566,80
567,79
568,80
569,80
570,79
571,81
572,81
573,80
574,81
575,80
576,81
577,80
578,81
579,80
580,80
581,79
582,79
583,77
584,78
585,77
586,78
587,77
588,77
589,77
590,76
591,77
592,76
593,76
594,77
595,77
596,76
597,78
598,79
599,80
600,80
601,80
602,82
603,81
604,82
605,82
606,83
607,81
608,82
609,83
610,83
611,82
612,82
613,83
614,83
615,82
616,83
617,81
618,81
619,83
620,82
621,84
622,82
623,83
624,83
625,82
626,82
627,83
628,84
629,82
630,82
631,82
632,84
633,83
634,83
635,82
636,83
637,84
638,83
639,82
640,83
641,82
642,82
643,84
644,82
645,82
646,83
647,83
648,83
649,81
650,83
651,83
652,81
653,83
654,81
655,83
656,83
657,81
658,83
659,82
660,83
661,82
662,83
663,83
664,81
665,83
666,81
667,83
668,82
669,83
670,82
671,83
672,81
673,83
674,83
675,83
676,83
677,82
678,83
679,81
680,81
681,82
682,81
683,82
684,83
685,82
686,81
687,82
688,82
689,80
690,82
691,81
692,81
693,81
694,80
695,81
696,80
697,79
698,79
699,81
700,81
701,80
702,81
703,80
704,79
705,79
706,80
707,79
708,78
709,78
710,77
711,78
712,76
713,75
714,75
715,75
716,73
717,72
718,72
719,73
720,72
721,72
722,72
723,72
724,71
725,72
726,70
727,71
728,71
729,71
730,70
731,71
732,70
733,71
734,70
735,71
736,71
737,70
738,70
739,70
740,70
741,70
742,70
743,70
744,70
745,69
746,71
747,70
748,69
749,69
750,68
751,69
752,67
753,67
754,68
755,66
756,68
757,67
758,66
759,67
760,67
761,66
762,66
763,64
764,66
765,64
766,64
767,65
768,65
769,66
770,67
771,69
772,68
773,70
774,72
775,73
776,73
777,74
778,75
779,77
780,76
781,77
782,77
783,78
784,77
785,76
786,75
787,74
788,75
789,74
790,74
791,71
792,72
793,71
794,68
795,69
796,69
797,67
798,67
799,66
800,65
801,63
802,63
803,62
804,61
805,61
806,60
807,60
808,61
809,61
810,60
811,61
812,60
813,60
814,61
815,60
816,60
817,60
818,60
819,58
820,60
821,58
822,58
823,57
824,58
825,57
826,58
827,57
828,58
829,57
830,58
831,58
832,56
833,58
834,58
835,56
836,57
837,57
838,56
839,57
840,55
841,56
842,54
843,54
844,56
845,54
846,54
847,53
848,54
849,53
850,54
851,53
852,55
853,53
854,54
855,55
856,58
857,61
858,63
859,63
860,65
861,65
862,64
863,66
864,65
865,66
866,64
867,65
868,65
869,65
870,67
871,68
872,70
873,72
874,70
875,71
876,70
877,71
878,70
879,70
880,68
881,68
882,68
883,69
884,72
885,73
886,75
887,75
888,78
889,78
890,78
891,78
892,80
893,78
894,79
895,80
896,81
897,80
898,80
899,81
900,81
901,80
902,81
903,80
904,81
905,82
906,83
907,82
908,83
909,83
910,84
911,83
912,83
913,84
914,84
915,84
916,84
917,84
918,84
919,84
920,86
921,84
922,84
923,85
924,86
925,85
926,86
927,85
928,85
929,85
930,85
931,84
932,85
933,85
934,85
935,85
936,84
937,84
938,85
939,86
940,85
941,86
942,85
943,85
944,84
945,85
946,86
947,85
948,84
949,86
950,85
951,86
952,85
953,86
954,86
955,86
956,85
957,85
958,85
959,86
960,86
961,85
962,86
963,86
964,86
965,85
966,85
967,85
968,86
969,84
970,85
971,86
972,86
973,84
974,85
975,85
976,85
977,86
978,86
979,86
980,85
981,84
982,84
983,85
984,84
985,85
986,86
987,87
988,85
989,87
990,86
991,86
992,86
993,86
994,86
995,86
996,88
997,87
998,87
999,88
1000,88
1001,87
1002,87
1003,87
1004,87
1005,88
1006,88
1007,89
1008,89
1009,89
1010,90
1011,87
1012,90
1013,89
1014,88
1015,88
1016,88
1017,90
1018,90
1019,88
1020,89
1021,88
1022,88
1023,89
1024,88
1025,88
1026,88
1027,88
1028,88
1029,88
1030,89
1031,87
1032,88
1033,86
1034,88
1035,86
1036,88
1037,85
1038,86
1039,86
1040,85
1041,86
1042,84
1043,84
1044,84
1045,84
1046,85
1047,84
1048,82
1049,85
1050,83
1051,84
1052,83
1053,83
1054,83
1055,81
1056,81
1057,81
1058,82
1059,82
1060,82
1061,81
1062,81
1063,81
1064,81
1065,82
1066,82
1067,80
1068,82
1069,82
1070,82
1071,83
1072,81
1073,83
1074,81
1075,82
1076,83
1077,81
1078,81
1079,83
1080,82
1081,83
1082,83
1083,83
1084,84
1085,83
1086,83
1087,83
1088,84
1089,84
1090,84
1091,83
1092,83
1093,84
1094,84
1095,84
1096,83
1097,84
1098,86
1099,86
1100,86
1101,84
1102,84
1103,85
1104,85
1105,85
1106,85
1107,86
1108,85
1109,85
1110,85
1111,87
1112,85
1113,86
1114,86
1115,87
1116,87
1117,87
1118,86
1119,87
1120,88
1121,88
1122,87
1123,88
1124,86
1125,88
1126,89
1127,87
1128,89
1129,89
1130,89
1131,88
1132,87
1133,89
1134,90
1135,90
1136,89
1137,88
1138,88
1139,89
1140,89
1141,89
1142,89
1143,89
1144,90
1145,91
1146,90
1147,89
1148,88
1149,89
1150,89
1151,90
1152,89
1153,89
1154,89
1155,90
1156,89
1157,90
1158,90
1159,89
1160,89
1161,89
1162,90
1163,90
1164,90
1165,90
1166,90
1167,89
1168,89
1169,90
1170,90
1171,89
1172,89
1173,91
1174,90
1175,90
1176,90
1177,90
1178,89
1179,90
1180,90
1181,90
1182,88
1183,89
1184,90
1185,91
1186,89
1187,90
1188,89
1189,90
1190,89
1191,91
1192,89
1193,88
1194,89
1195,90
1196,89
1197,89
1198,90
1199,90
1200,90
1201,90
1202,89
1203,88
1204,89
1205,90
1206,88
1207,90
1208,90
1209,91
1210,90
1211,89
1212,89
1213,89
1214,89
1215,90
1216,89
1217,90
1218,89
1219,89
1220,89
1221,90
1222,89
1223,90
1224,90
1225,90
1226,90
1227,91
1228,90
1229,91
1230,90
1231,89
1232,89
1233,90
1234,90
1235,90
1236,88
1237,89
1238,89
1239,88
1240,90
1241,89
1242,90
1243,88
1244,88
1245,89
1246,88
1247,87
1248,88
